time,titlecount,summary,summlen
2015-01-11,31.0,"押反彈 下注跌深低價股,守住5日線 多情就不變,法人淨多單 轉戒慎,兩岸財經 本周行事曆 1/12～1/17,台股本周多空,台積電 大立光 波動惹遐思,投資人老了…電子交易吸年輕小資,指數近前波高點 宜保守,開南財金 布局晶技啟碁,台股在高檔 避開權值股,東海財金 精選統一華碩,郭一棟老師的話,東海邏輯勝出 開南策略保守,挑戰者 李政穎 鍾情菱生德英,華爾街大亨 郭哲榮 看好志聖龍邦,挑戰者 陳速金 青睞瑞傳環科,周冠軍 蔡中錚 挑和進恩得利,金承臻 陳速金,華爾街大亨 郭哲榮,股海小英雄 李政穎,華爾街雙響砲 蔡中錚,蔡中錚 一周賺7%,466家上市櫃 今年改選董監,小米推旗艦機 供應鏈旺,雷軍12日旋風式訪台,鄒若齊親征搶優惠,三搶大戰 外資扮決勝關鍵,台幣貶 匯兌收益股搶鏡,大立光台積法說 景氣揭秘,16檔年報閃亮 強勢領漲,美台超級財報秀 利多放送",383.0
2015-01-12,24.0,"美林證 電子回溫 上調今年台股至9600,外資提款 台股大失血5億美元,空方擋路 台指期抬頭無力,急漲回壓 價量結構未失控,台股多頭撐盤小跌,投資情報站,聞禽色變 食品股摔一跤,台股風向球,台灣期貨業 失登陸先機,樂陞 上周看多冠軍,神基瑞軒 四檔錢景亮,台指期 外資偏空調整,選擇權 偏向保守,電子四大族群 抗震,TV零件供應鏈 聚光,台積周四法說 外資先提問,台 生技指數跌0.7％,十大物聯網概念股 強強滾,瑞昱笙科 營運看俏,聯電 法人買盤進駐,美經濟穩健復甦 薪情開朗,台積聯發科 動能強,菱生京元電 接單旺,凱基證 拚高資產財管商機",272.0
2015-01-13,20.0,"台指期 金融傳產助攻 攻克9200,大摩點名18檔台股,開低拔高 台股再上9200,半導體大好 2014上市櫃總營收近32兆,台指期 非金電期撐盤,選擇權 布局買方,塑化紡織股 迎紅包行情,電子股 題材豐富,電玩展概念股 玩開了,旺季快來了 法人搶卡位,三大抗震族群 出列,美股基金 聚焦消費題材,菲泰股 上周逆勢收紅,蘋果供應鏈好甜 法人按讚,雙成長族群 買盤追捧,15檔增幅撐竿跳 有料,2014上市櫃營收 總體檢,十大集團 鴻海稱霸,營收衝30兆新高 成長5.4％,4.21兆 鴻海再登台股營收王",251.0
2015-01-14,18.0,"台股題材 〝 SPEED〞吸睛,亞股跌 陸股獨紅,外資花心 台股區間震盪,台指期帶量下殺 價差轉逆,大咖萎靡 台股臉臭臭,群益金鼎 富蘭克林攜手擘畫投資契機,大同神達 認購紅不讓,仁寶鴻準 挑價內外15％,伍豐桂盟 四檔吸睛,台指期 短多信心恢復,半導體中概 有看頭,中小型股 搶賺紅包,宏利投信 看好本季台股,元大寶來 推大中華基金,靈活布局Ａ股ETF 搶進中國股市,ＦＢ上証領軍 搶搭長線資金行情,興櫃營收成長 生技最猛,油元基金賣股 台積有壓",224.0
2015-01-15,19.0,"早盤震百點 收小紅,視台積法說結果 卡位多空,空單達8千口 才算偏空,台股輕踩9200 急翻黑,喊進電子零組件四雄,Call鈊象樂 Put華碩闢謠熱,展望偏觀望 追價偏謹慎,鈺創萬海 四檔靚,廣達 選逾三個月期,選擇權 價差操作,光寶科期 可做多,台指期 空方主控盤勢,外資忽多忽空 大盤警戒,汽車蘋概股吸睛,新大中華基金 瞄準TMT產業,投資台股 五大方向,兩大因素 讓老闆捧著錢買,大立光台積領銜 25家法說今登場,金融開放的機會與挑戰",220.0
2015-01-16,24.0,"本月台股中小兵 拚作夢行情,元月有勁 信心指數創近2年高,指數型增10％,利多不漲 多方調節籌碼亂,看歐台買摩空台 今豐收,台指期急震翻黑 價差轉逆,不敵亞股陰影 台股周線連二黑,Ｋ董有自信 長榮航逆勢紅,投資情報站,積動開唱 噴量逾12.4萬張,押寶嘉聯益 選長天期,低薪竟成競爭力 外資看好台股,大立光 獲利王,聯電揚華 首選長天期,聯發科頎邦 挑價外15％,毅嘉報喜 國泰N3慶賀,台指期 短線多空激戰,選擇權 布局買權,觀光食品 迎接旺季,便宜轉機股 資金靠過來,永豐兩項基金 創佳績,叫陣Intel 資本支出120億美元,大立光創紀錄 每股稅後盈餘144.85元,低薪竟成競爭力 外資看好台股",301.0
2015-01-17,16.0,"近一周 印度基金像咖哩一樣嗆辣,烏雲罩 等待台股小太陽,多單留倉 後市不悲觀,尾牙概念股：紅包拿來！,上月底 投信基金規模跌破2兆,1月景氣展望 22月新高,熱錢襲 台幣升 央行：不買股就走,權民漲最大 55凱基勝出,外銷出口股 今年好匯賺,證交所強制法說 要讓冷凍股解凍,穩定配息股 防禦性強,投資主流變變變 你跟上了嗎,民眾買股意願 上升,台股周線連二黑 盯三關鍵,外資現貨賣超 期貨多單減,美台科技天王點火15檔猛",210.0
2015-01-18,32.0,"志聖 擴建新廠搶單,大立光 3008,慎防大波動 觀察指數標的權證,國際回穩 尋求買點佳機,月、季線翻揚 震盪盤堅,台股本周多空,法人布局偏空 影響追價信心,你不知道的大老闆們,東海財金 抱日月光晟德,台幣貶值概念股 優選,Q1營收成長股 後市俏,開南財金 看好谷崧聯詠,開南驚險勝出 東海攻擊失利,挑戰者 陳速金 青睞富驊凱碩,挑戰者 郭哲榮 選中華電台灣大,衛冕者 蔡中錚 看好和進友旺,周冠軍 李政穎挑合勤控松上,股海小英雄 李政穎,華爾街大亨 郭哲榮,金承臻 陳速金,華爾街雙響砲 蔡中錚,李政穎 一檔狂賺20%,智慧城商機50兆 台商搶,台塑釋股台塑化…最快下季,叫陣高通 聯發科辦客戶日固樁,大擴產 挹注營收160億,高通新機 下月搶市,台股後市…留意美股黑天鵝,法人：Q2營運大爆發,巴克萊：台灣今年GDP成長4.5％,搶賺紅包 挑台股四族群,未來一周大代誌",386.0
2015-01-19,38.0,"歐美激勵 台指期價差轉正,可成和碩鴻海 認購靚,開發金獲利 重返百億,台 生技指數跌0.9％,滬深股趴 台ETF喊痛,傳產四族群 OTC主力,去年定期定額金額 增12％,中保亞力攻物聯網,面板雙虎 啟動擴產,去年上櫃熱 日均成交量創8年高,電子四類股 法人喊旺,台積電權證 選價平～價外10％,Ｆ-大略 攻陸婚宴商機,研華神達 新品搶市,大盤向上 多方握發球權,殖利率佳 將成資金避風港,樂陞 蟬聯看多第一,大同合勤控商機旺,中華電遠雄法人挺,台股短線 緊盯歐美情勢,工匠精神 築起大立光障礙,漢微科弘塑 台積加持,晶圓雙雄燒,台指期 近日跌多漲少,投資情報站,瑞銀看台股 點名5好4壞,競爭力才是股價核心,優質大企業 買點浮現,高檔整理 汰弱留強,瑞郎脫鉤歐元 歐版ＱＥ有影,十大智慧城市概念股 當紅,油漲輸血 塑膠股來勁,外資若大賣 先獲利了結歐台期,半導體ＩＣ設計 可長抱,元月雙殺 台韓股遭外資大提款,電金領漲 台股早盤站上9200,台指期周三結算 估中性偏多,台股基金規模 前十強增逾26％",450.0
2015-01-20,21.0,"隱波率下降 市場不悲觀,結算前放量 台指期飛越9200,台股來勁 站上所有均線,投資情報站,官方祭出調控手段 陸股整理時間拉長,專家：台股下半年比上半年好,聯發科績優 兩檔聚焦,宏達電高歌 凱基22唱和,台指期 外資中性偏多,選擇權 多空觀望,百貨運輸紡織 亮點,瑞銀：上半年波動大,防禦性權值股 穩穩賺,永豐基金 奪下三冠軍,物聯網車電穿戴 今年優選,台股多空決戰 四大關鍵,台股大三通 須加快腳步,主力抱股過年…意願不高,現金殖利率佳 樂觀法人回籠,台幣 春節前上看31.5,陸股重挫 台股漲勢收斂",251.0
2015-01-21,18.0,"吳壽山：Ｑ1將推3個2.0版,卡位結算行情 歐台選可雙邊買進,台指期1月合約 拉高結算,量能偏小 市場高檔惜售,雙王領頭 台股收復9300,投資情報站,航運族群認購 錢景俏,選擇權 買方操作,台指期 外資偏多布局,車用電子 後市帶勁,康和證招新血 年獲利拚翻倍,半導體三雄 外資按讚,定期定額理財 人數增,59檔台股基金 胖了,六券商調薪幅度 近年最高,上市櫃獲利 外資看增一成,九外資捧 大立光衝3,000元,空頭回補 新台幣大貶1.44角",221.0
2015-01-22,24.0,"封關前 15日 漲2.7％ 抱股過年好樂,看ECB動向 先卡位或布空,盤面偏多 留意歐元政策結果,盤中抵9404 台指期 價差轉正,台股再揚 穿越9338點,國際熱錢卡位 股匯雙樂,高價股權證 4亮點聚焦,投資情報站,外資大買台股172億 1年半新高,宏碁供應鏈 認購發燒,大立光鴻海 四檔靚,光寶科 逾三個月期優選,台指期 市場信心加溫,凱基證 發OSU外幣衍生商品,LED族群 點亮光明燈,物聯網概念 後勁強,企業發行CSR報告書 大增,復華台股基金 創佳績,國泰投信 獲二大獎,理財周刊 買一送一,外資買超第一 股價今戰新高,台幣升1.43角 震盪將加劇,歐版ＱＥ效應 熱錢湧入台股,外資買台股172億 近半年新高",310.0
2015-01-23,21.0,"大反攻 周線終結2黑翻紅,台指期攻上9400,巴克萊保守看華碩宏碁,金融四法通過 金融股衝破季線,台積股價145元 市值逼3.76兆 雙新高,大立光改寫新天價,紅包有影 專家：高檔步步為營,紅包拿來 證券股先熱菜,股市日均值 上看1600億,熱錢四竄 台幣午盤急升1.9角,歐推ＱＥ 台股價量齊揚漲百點,股市漲跌幅10％ 下周宣布隨即實施,健亞鈊象 挑逾五個月,台指期 多方追價積極,台達電期 可做多,雙蘋上秀 供應鏈搶戲,金融股喜連來 後市看漲,惠理康和：台股逢回布局,曾銘宗：美升息時點 下波變數,外資連四買 加碼466億,資金行情燒 台股長期向上走",277.0
2015-01-24,27.0,"境外基金 印度依然紅,4天3缺口 多方訊號強烈,市場氣氛翻多,抱股過年？ 盯法說,短線高點可期,歐版ＱＥ來了 熱錢能回台股？,台股增量 當沖口袋要更深,阿土伯：沒配套小散戶很慘,歐洲巨鱷來了 央行力抗炒匯大軍,歐洲QE推升 台股爆量千億,台股漲跌幅放寬至10%,聯詠 三檔權證放光芒,物聯網族群 合併題材燒,半導體新能源 吸睛,券商有異見 利弊待討論,裕日車同樂 市占喊衝,台股漲跌幅放寬 2月初公布,和泰車超猛 今年要賺二股本,電腦系統調整 要3個月,台股資金派對 持續到元宵後,蘇純興求變 企業文化翻新,1,400億 勞動基金加碼買股,轉淨買超 大型股吸金,外資大買212億 台股上9,470,王嘉樞：全球熱錢行情啟動,13檔熱錢挺 法人搶買,台股漲跌幅 將放寬為10％",337.0
2015-01-25,33.0,"台股本周多空,強龍若波動 權證好出動,法人給力 多空戰區上移,叫戰9593高點 防希臘攪局,多頭強出頭 也要防熱過頭,大立光玉晶光 耀眼,電玩展搶戲 權證玩開了,開南財金 挑選廣達華航,大盤攀波段新高 防拉回,東海財金 看好寶成橘子,歐ＱＥ登場 台股資金來了,東海抓準趨勢 開南操作保守,挑戰者 李政穎 鍾情昭輝建碁,挑戰者 郭哲榮 挑久正尼克森,挑戰者 陳速金 青睞博智擎亞,周冠軍 蔡中錚 看好康舒勤誠,股海小英雄 李政穎,金承臻 陳速金,華爾街大亨 郭哲榮,華爾街雙響砲 蔡中錚,蔡中錚 抱飆股衝鋒,歐ＱＥ出鞘 新興市場high,華碩變招 當新工業革命贏家,辜仲立：中租年終最高12個月,技嘉營收 挑戰年增10％,五趨勢性產業 資金盛宴要角,攻物聯網 施董有新思維,曾銘宗促銀行做好風控,外資輕韓重台 本季行情旺,雙低族群 有機會補漲,未來一周大代誌,15檔悍將 萬點急先鋒,曾銘宗：台股揚升方案 轉骨衝成交量",408.0
2015-01-26,33.0,"權證去年日均量倍增,上周 外資買超台股22億美元 創近6年高,call 9450或9500 勿追價,狹幅震盪 後勢不悲觀,期交所 將推三亮點,狹震！台指期擺尾連6紅,聯詠目標價 外資喊228元,航空、貨櫃 上漲先鋒部隊,矽品後天法說 外資捧 股價落,投資情報站,歐打氣 瑞銀董成康喊進5虎將,台股農曆年前後 漲聲逾6成,面板雙雄揚 台股收小紅,專家：歐股有ＱＥ撐著 台股留意外資,贖回基金過年 2月6日前最保險,友達 上周看多第一,華晶科光寶科 認購靚,台指期 外資多單攀高,電子七猛將 單周漲逾10％,高殖利率股 OTC光明燈,利基型ＩＣ設計 買盤捧,高股息族群 短線首選,OTC補漲行情 將啟動,面板智慧機 可留意,台股挑戰前高 要過兩關,17家上市櫃 本周接力法說會,台 生技指數漲1.3％,正崴智冠 買單進駐,台達電 獲利拚新高,十大電玩展概念 電力十足,湧德 EPS衝8元,美就業改善 下季升息機率高,橘子鈊象 營運發功",415.0
2015-01-27,20.0,"日股領頭羊 陸港現疲態,外資翻多 選擇權淨多單大增,連7紅 台指期攻上9500關,大立光登2805新天價 盤中翻黑,權證交易量發行數 去年熱放異彩,Call 亞光旺年會熱灶 Put 大立光震爆人氣,熱門權證多 挑選有撇步,台股一開盤 飛越9500,外資今年買台股 累計逾11億美元,台幣強升 人民幣狂貶,友達期 後市樂觀,選擇權 保守觀望,去年口數 突破2億大關,物聯網穿戴 題材熱炒,四大族群 紅包行情燒,外企來台上櫃 今年上看十家,占大盤比重拚5％新高,林總造市 讓成長率封王,本土法人 可能遭軋空手,外資期貨多單 衝破2萬口",265.0
2015-01-28,22.0,"大中華股漲逾2％ 台股拚紅包行情,空單積極停損 軋空動能鬆,台指期量縮 正價差拉大,陸股波動大 歐台商品避險,外資偏多 專家：年前上看9600點,外資續看多 點名大立光等4檔,台股今高姿態整理,華碩權證 可先落袋為安,Call Ｆ-譜瑞發威 Put 台灣50吸睛,1月消費者信心指數飆新高,台達電南電日月光 六檔熱,佳世達聯詠 認購氣盛,台指期 法人獲利了結,選擇權 市場觀望,面板LED 提早布局,32檔領軍 多頭列車鳴笛,長假概念股 買氣發燒,永豐領航科技 持股達九成,16檔台股基金 績效打敗大盤,券商：給曾主委十個讚,鴻海成長動能 外資論戰,揚升股市 金管會三大放寬",287.0
2015-01-29,23.0,"驚跌99點 台指期 9500失守,外資抽腿？台股摔下9500,友達去年EPS賺1.83元,台幣午盤貶8.6分,台股揚升方案逾10項 下周出爐,1月消費者信心指數 飆歷史新高,麗豐元上證 四檔旺,欣興 逾三個月期優選,和碩亮眼 富邦ＮＥ靚,選擇權 多方布局,外資淨多單 增至2.1萬口,粉絲專頁 淺顯易懂,公司治理指數 6月前上路,面板雙虎法說行情 啟動,大型績優股 優選,內外資買超股 吸睛,華亞科 外資多空交戰,橋椿福興鑽全 前景俏,美台科技基金 可抱過年,全球寬鬆 台股受惠,金管會挺ETF 旗下機構帶頭買,放寬台股漲跌幅 八成贊成,外資連八買 加碼上千億",280.0
2015-01-30,13.0,"買超縮手 周線收黑,台指期淨多單破萬口 先空歐台期,箱型整理 籌碼低檔有撐,台股量縮小黑 月線連4紅,投資情報站,台股跌破9500點 外資「不離不棄」,張孝威 幕後操盤手,友達火熱 ＩＡ群益搶手,台指期 短多力道轉弱,高融資弱勢股 賣壓浮現,封測航運 長線優選,產業 保德信科技島 看好半導體,美股陸股大跌 台股跌破9500",162.0
2015-01-31,19.0,"近一周境外基金十強 日本歐洲爭輝,外資持續買 最愛台積電,電子大咖法說 法人關注,熱錢、亞幣圍攻 台幣再走貶,致伸 四檔權證看俏,台光電為升 認購high,友達法說失靈 帶量下殺,百和鼎翰 小摩青睞,食品業 強制設實驗室,許董誠意足 扛下老字號,過年前…期待生技送紅包,蘋果代工股王 和碩逼宮鴻海,勝華旺宏華映華航 喊冤,樂陞 買下一之鄉,分食大小i6訂單 Q1不淡,214上市櫃 遭質疑養肥貓,外資賣現貨 減期貨多單,月線連四紅 台股封關前挑戰9,600,15檔強勢股 安心抱過年",241.0
2015-02-01,29.0,"陸股ETF、指數權證 年前重回觀察名單,外資仍布多單 2月行情不致太壞,上攻有壓力 看個股突圍,台股本周多空,東海財金 布局必翔云辰,指數短線過高 面臨跳空缺口,大盤高檔震盪 留意獲利了結,開南財金 看好友達台積,開南防禦操作 東海操作集中,挑戰者 陳速金 青睞鴻碩鈺齊,挑戰者 李政穎 挑銘旺實光聯,衛冕者 蔡中錚 看好宏森永彰,周冠軍 郭哲榮 鍾情西勝上奇,華爾街大亨 郭哲榮,股海小英雄 李政穎,金承臻 陳速金,華爾街雙響砲 蔡中錚,郭哲榮打敗大盤,房地合一稅 不應溯及既往,新竹今年推案量 上看1.3兆元,小心！外資年前做多意願轉弱,日月光投資千億 高雄蓋新廠,工程師 年終最高八個月,金主發出結帳令 台股恐出現賣壓,抗震族群 法人加碼,電玩展爆棚 智冠橘子績優,兩款手機遊戲 人氣超旺,未來一周大代誌,16檔政策利多點火 看飆",368.0
2015-02-02,34.0,"外資強灌台股 吸金10億美元奪冠,看外資動態,金融期撐盤 台指期收紅,盤整格局下 期貨往下壓力大,台幣午盤貶1角,長假前打帶跑 融資戶上周小買,長假前打帶跑 融資戶上周小買,無畏美股黑 台股收小紅,ＵＡ強出頭 概念股High,投資情報站,油價反彈 塑化強攻,亞光認購權證 買氣旺旺,Call日月光來勁 Put加權指數紅,股市揚升方案拍板？ 曾銘宗：還沒升起,台股放寬漲跌幅 下半年啟動,長榮航網家 認購看旺,台積電日月光 外資挺,台指期 法人偏空調整,選擇權 買方操作,OTC強勢 拚補漲行情,電子股 有匯損壓力,新品外銷概念 短打強棒,留意農曆年前的賣壓,10檔下有撐上無壓 讚,橡膠紡織 優勢浮現,台股五變數 短線有壓,法說美財報 封關前亮點,台 生技指數跌0.2％,東隆興銘旺實 看俏,我CPI年增率 有機會連三月<1％,宏達電網家 搶先機,儒鴻南緯 營運樂觀,十大ＵＡ概念股 擁抱新題材,百和聚陽 法人追捧",407.0
2015-02-03,18.0,"開春旺 元月日均值201億,因應長假效應 宜小量留倉,外資看多 台指期續揚,台股收復9400,日韓港股 紅翻黑,聯電抗寒 富邦ＬＵ受捧,新廠簽約 大立光衝高慶祝,台幣強彈午盤衝破31.5大關,稅賦建言 財部打槍,外資上周買超台股 亞股之冠,康舒來電 國泰L5有勁,致伸穩懋 短打強棒,DRAM族群 挑長天期,台指期 外資偏多留倉,選擇權 價差操作,智慧裝置概念股 燒,物聯網電商 喜迎春,台股 亞洲吸金王",202.0
2015-02-04,27.0,"台幣午盤升2.04角 創今年來最大升幅,台指期攻上9500,多頭樂多久 看外資是否減碼,金融指數 創今年新高,大立光盤中登2820,外資作多 紅包有望,證券類股 有揚升行情,外資點名5檔受惠金融股,股王天價之路 權證短進短出,台股揚升 衝破9500,4面向革新 台股拚轉骨,漲跌幅10% 法人看好,台股衝衝衝 漲跌幅放寬至10％,聯詠 挑逾三個月權證,選擇權 波動率下滑,台指期 法人中性偏多,投信加碼股 OTC強棒,績優傳產股 迎紅包行情,15檔金馬股 羊年喊衝,連接器廠 後市不淡,印泰菲股強勢 漲逾5％,開放型基金 准做信用交易,券商公會肯定 力挺溫和開放,熱錢流竄 台幣止貶回升,砸200億 大立光台中廠 Q1動工,台股漲跌幅10％ 8月3日實施,台股漲跌幅 8月放寬至10％",342.0
2015-02-05,22.0,"今日亞股溫吞 日股最疲弱,拉尾盤 守9500點,年前有機會挑戰9581高點,9500失而復得,金融股 野村證 將比大盤給力,大陸降存準率2碼 滬深兩市早盤漲逾2％,比成本 復航很燒錢,大立光 挑逾三個月期,金融期 多方火力集中,選擇權 買方降溫,紡織五虎將 麥格理喊衝,電子消費鏈 聚光,外資捧 金融股氣如虹,羅瑋：台股迎熱錢 下半年衝萬點,台股飆高 外資買超逾百億元,年前看升 台幣測試31元大關,政院戰熱錢 強化管理外資,籌碼鬆動 大股東申讓14萬張,匯入一周不買股 央行天天CALL,中概陸股ETF 看漲,外資湧入 台幣勁升1.5角,台股揚升 衝過9500",281.0
2015-02-06,13.0,"觀望氛圍濃 周線再收黑,失守9500 台指期周線收紅,注意長假效應、價差變化,年前布局 績突中小兵,台股揚升方案 巴克萊給負評,台股高氣壓 低量小跌周線紅,元月營收淡 大立光成空襲靶心,投資情報站,儒鴻權證 看訊號短打,臻鼎台郡 選長天期,選擇權 避險布局,台指期 外資偏多調整,高效電池族群 帶勁",149.0
